run_id,dataset,model_des,hidden,temp_layers,spat_layers,batch_size,dropout,ffn_ratio,spatial_heads,num_params,best_epoch,valid_MAE,valid_RMSE,test_MAE,test_RMSE,test_MAPE,step_6_MAE,step_9_MAE,step_12_MAE,step_24_MAE
i7_simple_meteo_20260325-171736,1D-data,i7_simple_meteo,32,3,2,8,0.3,1,8,304513,10,2.266444206237793,8.881429672241211,2.2999320030212402,10.748774528503418,0.029866287484765053,2.0798277854919434,2.2282373905181885,2.3467464447021484,2.7510197162628174
i6_r15_20260325-095111,1D-data,i6_r15,32,3,2,8,0.3,1,8,349025,10,2.2687251567840576,8.800444602966309,2.301650047302246,10.707178115844727,0.030015112832188606,2.0713531970977783,2.258740186691284,2.36344313621521,2.7429087162017822
i1_res_20260324-152547,1D-data,i1_res,32,3,2,8,0.1,4,4,392320,10,2.2588608264923096,8.704773902893066,2.3017098903656006,10.501045227050781,0.030064135789871216,2.1093297004699707,2.2664129734039307,2.371107578277588,2.7069828510284424
i5_align_20260324-200134,1D-data,i5_align,32,3,2,8,0.3,1,8,374433,10,2.266970157623291,8.80366325378418,2.3047006130218506,10.640177726745605,0.029771795496344566,2.0826117992401123,2.26786208152771,2.3815619945526123,2.723011016845703
i1_res_20260324-155705,1D-data,i1_res,32,3,2,8,0.1,4,4,392320,10,2.255478858947754,8.709956169128418,2.306126117706299,10.511177062988281,0.030131198465824127,2.1101882457733154,2.2735602855682373,2.374208450317383,2.7148358821868896
i1_log_res_20260324-155705,1D-data,i1_log_res,32,3,2,8,0.1,4,4,392320,10,2.2441623210906982,8.67819881439209,2.3089208602905273,10.46863079071045,0.030081136152148247,2.106708526611328,2.2692270278930664,2.367845058441162,2.725370168685913
i2_rain_20260324-163143,1D-data,i2_rain,32,3,2,8,0.1,4,4,393153,9,2.238128423690796,8.806488990783691,2.3095946311950684,10.728878021240234,0.029836507514119148,2.083442449569702,2.2501513957977295,2.365734577178955,2.721266031265259
i3_g20_20260324-171555,1D-data,i3_g20,32,3,2,8,0.1,4,4,395073,9,2.266075611114502,8.918288230895996,2.3097012042999268,10.74394416809082,0.03007243573665619,2.0762906074523926,2.2470946311950684,2.347975492477417,2.731990098953247
i7_pure_20260325-185456,1D-data,i7_pure,32,3,2,8,0.3,1,8,303680,13,2.2539870738983154,9.103554725646973,2.3097198009490967,10.734467506408691,0.029827386140823364,2.076862335205078,2.226015090942383,2.3722803592681885,2.699479103088379
i7_r25_diff_20260325-131502,1D-data,i7_r25_diff,32,3,2,8,0.3,1,8,349345,9,2.261793375015259,8.875655174255371,2.312732219696045,10.714384078979492,0.03018200956285,2.0818071365356445,2.2457399368286133,2.358226776123047,2.7336466312408447
i4_lr5e4_20260324-183000,1D-data,i4_lr5e4,32,3,2,8,0.1,4,4,392320,13,2.2580602169036865,8.914299011230469,2.312966823577881,10.675722122192383,0.03006252832710743,2.082592725753784,2.2405810356140137,2.3704307079315186,2.6850554943084717
i7_regional_20260325-121311,1D-data,i7_regional,32,3,2,8,0.3,1,8,355327,9,2.2485554218292236,9.01171875,2.3146471977233887,10.881121635437012,0.030239952728152275,2.0898492336273193,2.2398438453674316,2.357309103012085,2.74932599067688
i5_align_20260324-225425,1D-data,i5_align,32,3,2,8,0.3,1,8,374433,3,2.2687253952026367,8.881959915161133,2.3173515796661377,10.491982460021973,0.030250299721956253,2.1000304222106934,2.221635580062866,2.3052875995635986,2.76009464263916
i7_r25_20260325-124415,1D-data,i7_r25,32,3,2,8,0.3,1,8,355487,9,2.25070858001709,9.014653205871582,2.3216567039489746,10.77680492401123,0.030360091477632523,2.092798948287964,2.2561938762664795,2.3712058067321777,2.759326934814453
p1_baseline_20260324-140032,1D-data,p1_baseline,32,3,2,8,0.1,4,4,392320,10,2.2547619342803955,8.907754898071289,2.323134183883667,10.980588912963867,0.030130991712212563,2.106980085372925,2.282519578933716,2.3786447048187256,2.7342703342437744
i4_lr5e4_rain_20260324-183000,1D-data,i4_lr5e4_rain,32,3,2,8,0.1,4,4,393153,9,2.2326598167419434,8.716755867004395,2.327664613723755,10.670448303222656,0.03043249063193798,2.089949131011963,2.2485899925231934,2.3653180599212646,2.769636869430542
i7_v_tmlp_20260325-162525,1D-data,i7_v_tmlp,32,3,2,8,0.3,1,8,349185,12,2.2769038677215576,9.081411361694336,2.328021764755249,10.67910099029541,0.030353974550962448,2.090179681777954,2.2540695667266846,2.3483786582946777,2.756213426589966
i3_g10_20260324-171555,1D-data,i3_g10,32,3,2,8,0.1,4,4,394113,9,2.256699800491333,8.89737319946289,2.3337740898132324,10.811173439025879,0.03033486008644104,2.0958991050720215,2.258615732192993,2.375760078430176,2.739548444747925
p1_h64_20260324-140032,1D-data,p1_h64,64,3,2,8,0.1,4,4,968560,15,2.252811908721924,8.838343620300293,2.3340883255004883,11.009561538696289,0.03039068542420864,2.104961395263672,2.283015012741089,2.373530626296997,2.7128307819366455
i3_g5_20260324-171555,1D-data,i3_g5,32,3,2,8,0.1,4,4,393633,9,2.2451882362365723,8.781063079833984,2.335143566131592,10.721587181091309,0.030431579798460007,2.0878500938415527,2.2608776092529297,2.3827548027038574,2.780831813812256
i2_cosine_20260324-163143,1D-data,i2_cosine,32,3,2,8,0.1,4,4,392320,9,2.2608835697174072,8.711457252502441,2.3426311016082764,10.706623077392578,0.030518123880028725,2.108485221862793,2.2684290409088135,2.3760147094726562,2.7656142711639404
i8_light_20260326-004648,1D-data,i8_light,32,3,2,8,0.3,1,8,343679,6,2.2957510948181152,9.785421371459961,2.4071295261383057,11.447405815124512,0.03147832304239273,2.2135696411132812,2.3260624408721924,2.4062063694000244,2.7564258575439453
i8_light_nophys_20260326-014015,1D-data,i8_light_nophys,32,3,2,8,0.3,1,8,343679,6,2.2958123683929443,9.771112442016602,2.408348321914673,11.454472541809082,0.03152065724134445,2.214409589767456,2.325894355773926,2.405076742172241,2.7598702907562256
i8_aux_01_20260325-230757,1D-data,i8_aux_01,32,3,2,8,0.3,1,8,348161,6,2.2915937900543213,9.783613204956055,2.417235851287842,11.52390193939209,0.03164615109562874,2.2294580936431885,2.3304479122161865,2.4152681827545166,2.7539451122283936
i8_aux_001_20260325-222314,1D-data,i8_aux_001,32,3,2,8,0.3,1,8,348161,6,2.2936899662017822,9.765915870666504,2.417494297027588,11.51293659210205,0.03164846450090408,2.2287230491638184,2.3314478397369385,2.416346549987793,2.754582643508911
i1_log_20260324-152547,1D-data,i1_log,32,3,2,8,0.1,4,4,392320,1,84.17447662353516,185.4320831298828,81.11735534667969,179.68934631347656,0.865157961845398,81.1883544921875,81.16157531738281,81.117431640625,80.92765045166016
i1_log_res_20260324-152547,1D-data,i1_log_res,32,3,2,8,0.1,4,4,392320,1,84.17447662353516,185.4320831298828,81.11735534667969,179.68934631347656,0.8651579022407532,81.18836975097656,81.16158294677734,81.117431640625,80.92766571044922
